sample,fastq_1,fastq_2,strandedness
TP533_and_other_genes_1,SRR11318305_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318305_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318306_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318306_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318307_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318308_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318308_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318309_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318309_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318310_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318310_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318311_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318311_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318312_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318312_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318313_target_seq_of_human_BRCA1_2_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318314_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318315_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318315_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318316_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318316_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318317_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318318_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318318_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318319_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318319_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318320_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318320_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318321_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318321_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318322_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318322_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318323_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318323_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318324_target_seq_of_human_BRCA1_2_genes_1.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318325_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
