sample,fastq_1,fastq_2,strandedness
SKOV3-WT-1,SRR9694244_GSM3944441_SKOV3-WT-1_Homo_sapiens_RNA-Seq_1.fastq.gz ,,
SKOV3-WT-1,SRR9694244_GSM3944441_SKOV3-WT-1_Homo_sapiens_RNA-Seq_2.fastq.gz ,,
SKOV3-WT-2,SRR9694245_GSM3944442_SKOV3-WT-2_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-WT-2,SRR9694245_GSM3944442_SKOV3-WT-2_Homo_sapiens_RNA-Seq_2.fastq.gz ,,
SKOV3-WT-3,SRR9694246_GSM3944443_SKOV3-WT-3_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-WT-3,SRR9694246_GSM3944443_SKOV3-WT-3_Homo_sapiens_RNA-Seq_2.fastq.gz,,
SKOV3-KO-1,SRR9694247_GSM3944444_SKOV3-KO-1_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-KO-1,SRR9694247_GSM3944444_SKOV3-KO-1_Homo_sapiens_RNA-Seq_2.fastq.gz,,
SKOV3-KO-2,SRR9694248_GSM3944445_SKOV3-KO-2_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-KO-2,SRR9694248_GSM3944445_SKOV3-KO-2_Homo_sapiens_RNA-Seq_2.fastq.gz,,
SKOV3-KO-3,SRR9694249_GSM3944446_SKOV3-KO-3_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-KO-3,SRR9694249_GSM3944446_SKOV3-KO-3_Homo_sapiens_RNA-Seq_2.fastq.gz,,
OV3-WT-1,SRR9694250_GSM3944447_OV3-WT-1_Homo_sapiens_RNA-Seq.fastq.gz,,
OV3-WT-2,SRR9694251_GSM3944448_OV3-WT-2_Homo_sapiens_RNA-Seq.fastq.gz,,
OV3-WT-3,SRR9694252_GSM3944449_OV3-WT-3_Homo_sapiens_RNA-Seq.fastq.gz,,
OV3-KO-1,SRR9694253_GSM3944450_OV3-KO-1_Homo_sapiens_RNA-Seq.fastq.gz,,
OV3-KO-2,SRR9694254_GSM3944451_OV3-KO-2_Homo_sapiens_RNA-Seq.fastq.gz,,
OV3-KO-3,SRR9694255_GSM3944452_OV3-KO-3_Homo_sapiens_RNA-Seq.fastq.gz,,
OV8-WT-1,SRR9694256_GSM3944453_OV8-WT-1_Homo_sapiens_RNA-Seq.fastq.gz,,
OV8-WT-2,SRR9694257_GSM3944454_OV8-WT-2_Homo_sapiens_RNA-Seq.fastq.gz,,
OV8-WT-3,SRR9694258_GSM3944455_OV8-WT-3_Homo_sapiens_RNA-Seq.fastq.gz,,
OV8-KO-1,SRR9694259_GSM3944456_OV8-KO-1_Homo_sapiens_RNA-Seq.fastq.gz,,
OV8-KO-2,SRR9694260_GSM3944457_OV8-KO-2_Homo_sapiens_RNA-Seq.fastq.gz,,
OV8-KO-3,SRR9694261_GSM3944458_OV8-KO-3_Homo_sapiens_RNA-Seq.fastq.gz,,
SKOV3-CON_CAS9-1,SRR9694262_GSM3944459_SKOV3-CON_CAS9-1_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-CON_CAS9-1,SRR9694262_GSM3944459_SKOV3-CON_CAS9-1_Homo_sapiens_RNA-Seq_2.fastq.gz,,
SKOV3-CON_CAS9-2,SRR9694263_GSM3944460_SKOV3-CON_CAS9-2_Homo_sapiens_RNA-Seq_1.fastq.gz,,
SKOV3-CON_CAS9-2,SRR9694263_GSM3944460_SKOV3-CON_CAS9-2_Homo_sapiens_RNA-Seq_2.fastq.gz,,
SKOV3-CON_CAS9-3,SRR9694264_GSM3944461_SKOV3-CON_CAS9-3_Homo_sapiens_RNA-Seq_1.fa,,
SKOV3-CON_CAS9-3,SRR9694264_GSM3944461_SKOV3-CON_CAS9-3_Homo_sapiens_RNA-Seq_2.fa,,
SKOV3-STAT3_KO-1,SRR9694265_GSM3944462_SKOV3-STAT3_KO-1_Homo_sapiens_RNA-Seq_1.fa,,
SKOV3-STAT3_KO-1,SRR9694265_GSM3944462_SKOV3-STAT3_KO-1_Homo_sapiens_RNA-Seq_2.fa,,
SKOV3-STAT3_KO-2,SRR9694266_GSM3944463_SKOV3-STAT3_KO-2_Homo_sapiens_RNA-Seq_2.fa,,
SKOV3-STAT3_KO-3,SRR9694267_GSM3944464_SKOV3-STAT3_KO-3_Homo_sapiens_RNA-Seq_1.fa,,
